filename,format,size,mode
eberhard-grossgasteiger-hig7VC5ph28-unsplash.jpg,JPEG,"(6000, 4000)",RGB
egor-litvinov-iSiBtC93Dok-unsplash.jpg,JPEG,"(3200, 4800)",RGB
andrea-de-santis-CkPkLHd0MH0-unsplash.jpg,JPEG,"(7008, 4672)",RGB
karsten-winegeart-Yz-0UDzQ8NM-unsplash.jpg,JPEG,"(6407, 4271)",RGB
jeremy-bishop-yOKPes1Vc4M-unsplash.jpg,JPEG,"(2333, 3500)",RGB
samsung-memory-z1YJCZ-yV2Q-unsplash.jpg,JPEG,"(6989, 9318)",RGB
samsung-memory-m587InP07os-unsplash.jpg,JPEG,"(4000, 5629)",RGB
jason-leung-AydnLKqj4Ug-unsplash.jpg,JPEG,"(3648, 5472)",RGB
samsung-memory-yDfEf2xrM7I-unsplash.jpg,JPEG,"(4000, 6000)",RGB
josip-margeta-Uu1pyPMLWL4-unsplash.jpg,JPEG,"(3851, 5776)",RGB
